2021/12/23 17:06:41 [error] 4872#33328: *3 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:07:25 [error] 4872#33328: *3 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:07:25 [error] 4872#33328: *6 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:07:30 [error] 4872#33328: *4 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:07:30 [error] 4872#33328: *1 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:07:49 [error] 4872#33328: *1 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:07:49 [error] 4872#33328: *5 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:08:08 [error] 4872#33328: *1 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:08:08 [error] 4872#33328: *3 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/bdmap/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
2021/12/23 17:09:00 [error] 4872#33328: *2 CreateFile() "C:\Users\rxw\Desktop\archive\source-code\za-ylt-web\nginx-1.15.10/../src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: , request: "GET /src/tinymce/js/tinymce/plugins/pageembed/plugin.min.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/src/tinymce/index.html"
